i,x,y
0,0.0,0.0
1,0.036880336328190856,-0.011003833407451246
2,0.06617314570500372,-0.017609464384189602
3,0.09722066482769981,-0.024326979048049778
4,0.14032311322978,-0.03309520183053757
5,0.18730587157043413,-0.04172784319874089
6,0.23139505877755978,-0.048780857903440535
7,0.276324310468682,-0.05482884440302137
8,0.3100058892824497,-0.05854613879270628
9,0.3547414219972606,-0.06233968210493183
10,0.384759981094191,-0.06412690391680688
11,0.4271698396171063,-0.06559495401173228
12,0.46127804449668114,-0.06590101220422213
13,0.5265352639717253,-0.06434187765309005
14,0.5651365467392315,-0.06212418601998568
15,0.6118466098147752,-0.05818872963935123
16,0.6444274581824,-0.054655171660230796
17,0.6866585868325709,-0.04914630738239778
18,0.7180755498758657,-0.04439576591558563
19,0.7479607428397251,-0.039374449323911855
20,0.7804624383700286,-0.033387857534081126
21,0.8139282621157193,-0.02667666992016447
22,0.855523104766781,-0.017564407772813838
23,0.8882275698466693,-0.009833083527101393
24,0.9313613851681658,0.0011027660018771233
25,0.9734789628928168,0.012524233761685193
26,1.003205904959451,0.02098595736350318
27,1.0331401081629996,0.029799266525883397
28,1.075172782298583,0.04264439138122613
29,1.1045243785197225,0.05186079214307659
30,1.1343693803256512,0.06142540680608872
31,1.1675118336732033,0.06644302243445561
32,1.2008667762385719,0.06662365628081743
33,1.2311300433613381,0.05562431571661962
34,1.2655642181390734,0.038955589085273565
35,1.2939549282205385,0.026831230605692286
36,1.3182938813851608,0.004145310058153261
37,1.3423542828922332,-0.01567493554165271
38,1.3758400796872918,-0.02967654644099434
39,1.4126720379896212,-0.03940740597409442
40,1.4531039798441017,-0.051525642619802706
41,1.4822347939067588,-0.06108451201493957
42,1.5195111939902373,-0.06260486609799376
43,1.5498527562646598,-0.06397513380965372
44,1.5774144612996035,-0.04369090133095867
45,1.610725075415695,-0.03156918435861964
46,1.6417440206804637,-0.05264654518859273
47,1.6419324820315844,-0.08855886202472187
48,1.6451080293683533,-0.12971229176110877
49,1.6477513049196528,-0.1628227641368127
50,1.6575079222323155,-0.19300414127998677
51,1.6859467282159377,-0.20802590787451786
52,1.718807814753185,-0.22034413667169506
53,1.751803082782852,-0.2270751920781073
54,1.7911295691485798,-0.24426637556677994
55,1.8210346705784894,-0.26550729169409754
56,1.8431411014643653,-0.28709275390094785
57,1.8738824844440773,-0.30838146333290073
58,1.899594933763535,-0.32507524969249546
59,1.9426004904243743,-0.3443338945490231
60,1.9477924001278084,-0.37797799874561894
61,1.945057132040308,-0.4083046424776619
62,1.9562774847310276,-0.43694915350864405
63,1.9582137184765316,-0.4691184252963391
64,1.9383903863109213,-0.4968110480246283
65,1.9114339666122315,-0.5164915579382893
66,1.8917738920623233,-0.5449734313474311
67,1.8761153790082177,-0.5765734024821024
68,1.8863177873763484,-0.6060360693398898
69,1.9020730802409567,-0.6336871433616407
70,1.9084072175269278,-0.6669921766306851
71,1.919459397956921,-0.6998280375287897
72,1.9318013081835756,-0.7333180496417587
73,1.9520641070776756,-0.7094157945402766
74,1.9869084050256265,-0.6917739249914391
75,2.015156625133758,-0.6785149843631342
76,2.0553295839509524,-0.6606798343291849
77,2.0843011798854936,-0.648428812118509
78,2.112855765040907,-0.6367884830227558
79,2.14224716929364,-0.6252180775315104
80,2.1842129242914967,-0.6093203224000485
81,2.216335963657643,-0.5975395322202336
82,2.260517053354095,-0.581800622424635
83,2.29567578648801,-0.5666201559963434
84,2.3214634274349404,-0.5323778329411132
85,2.3441426244962376,-0.5054020599665963
86,2.367746593802434,-0.4784847424846641
87,2.3786693571049953,-0.44412846404093703
88,2.380073520246931,-0.41057175590704525
