t,x,y,decision
1784047379.8052003,1.1343693803256512,0.06142540680608872,DERECHA
1784047388.5608122,1.3648310337046043,-0.02396546373708416,IZQUIERDA
1784047408.2153022,1.5948139905144811,-0.0298101986616093,DERECHA
1784047418.7847812,1.710492794921214,-0.2180712127405814,FRENTE
1784047425.772739,1.9426004904243743,-0.3443338945490231,DERECHA
1784047445.6411812,1.8821105469146724,-0.5628787741818412,BACKTRACK
1784047475.0382333,2.275683565235758,-0.5765135274035477,FRENTE
1784047506.0744424,2.688838441356036,-0.9334760233330723,IZQUIERDA
1784047512.0723197,3.0325456849189054,-1.1559812100867812,DERECHA
1784047521.4466588,3.380308807906851,-0.5153899677307046,IZQUIERDA
1784047528.633267,3.093479096853709,-0.5693881030331953,FRENTE
1784047539.4257534,2.885393911425885,-0.46815801081083713,DERECHA
1784047557.0268912,4.407257221860731,-0.880403017183632,FRENTE
